epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.698,1.3822,2.48908,1.42537,0.50744,0.48127,0.42795,0.2456,1.39281,2.04034,1.55689,0.000368737,0.000368737,0.000368737
2,235.153,1.56279,1.95484,1.56849,0.52042,0.47874,0.45652,0.23713,1.5809,2.28361,1.70339,0.000726876,0.000726876,0.000726876
3,346.52,1.55937,1.91142,1.55167,0.65937,0.46515,0.49768,0.26939,1.61234,2.15857,1.68171,0.00107279,0.00107279,0.00107279
4,458.757,1.53334,1.81248,1.5378,0.51573,0.47592,0.4764,0.273,1.43984,2.02351,1.52734,0.00105601,0.00105601,0.00105601
5,571.259,1.44339,1.70109,1.48291,0.68228,0.50325,0.56914,0.35056,1.36917,1.56107,1.46172,0.00103767,0.00103767,0.00103767
6,682.514,1.40961,1.61602,1.46498,0.72221,0.55782,0.61206,0.37649,1.36094,1.43749,1.47224,0.00101934,0.00101934,0.00101934
7,793.975,1.3848,1.5602,1.44838,0.7181,0.64613,0.67756,0.43503,1.26985,1.26932,1.3774,0.00100101,0.00100101,0.00100101
8,905.808,1.33879,1.48089,1.41233,0.72676,0.62975,0.66795,0.42618,1.27239,1.25868,1.37676,0.000982679,0.000982679,0.000982679
9,1016.04,1.30928,1.40234,1.4008,0.70373,0.60148,0.6424,0.41024,1.24592,1.37329,1.36932,0.000964348,0.000964348,0.000964348
10,1126.6,1.29841,1.37712,1.3917,0.78447,0.63693,0.68805,0.44807,1.21634,1.20172,1.32674,0.000946016,0.000946016,0.000946016
11,1238.43,1.28762,1.33287,1.38994,0.74717,0.68235,0.71057,0.4664,1.19677,1.09983,1.3059,0.000927685,0.000927685,0.000927685
12,1349.06,1.23944,1.24204,1.34837,0.82515,0.69132,0.74628,0.49945,1.13761,1.03833,1.26905,0.000909353,0.000909353,0.000909353
13,1460.58,1.23597,1.24142,1.35212,0.76476,0.6913,0.73268,0.48813,1.1678,1.01569,1.30554,0.000891022,0.000891022,0.000891022
14,1572.04,1.23719,1.22472,1.34946,0.77079,0.67074,0.7356,0.48395,1.13256,1.06305,1.26332,0.000872691,0.000872691,0.000872691
15,1682.21,1.20009,1.19981,1.33399,0.80864,0.70524,0.73983,0.49616,1.12347,0.99195,1.25173,0.000854359,0.000854359,0.000854359
16,1793.57,1.18637,1.15282,1.31859,0.80479,0.68997,0.74232,0.49729,1.10242,0.99233,1.22818,0.000836027,0.000836027,0.000836027
17,1904.17,1.18598,1.11355,1.3087,0.81985,0.7089,0.76091,0.51825,1.14488,0.97745,1.26838,0.000817696,0.000817696,0.000817696
18,2013.79,1.17368,1.11587,1.31516,0.81179,0.64662,0.73044,0.5008,1.09072,1.03253,1.2401,0.000799365,0.000799365,0.000799365
19,2124.04,1.17075,1.09537,1.30811,0.78359,0.7554,0.78003,0.52842,1.07192,0.88304,1.21912,0.000781033,0.000781033,0.000781033
20,2234.86,1.13542,1.06136,1.2879,0.84533,0.72761,0.77095,0.52198,1.08803,0.89847,1.23889,0.000762702,0.000762702,0.000762702
21,2345.3,1.1473,1.05011,1.29348,0.86828,0.71969,0.79419,0.54119,1.07459,0.8633,1.23322,0.00074437,0.00074437,0.00074437
22,2454.77,1.13853,1.0425,1.29099,0.87022,0.72239,0.7899,0.54761,1.03965,0.8668,1.19649,0.000726038,0.000726038,0.000726038
23,2565,1.12074,1.01992,1.27211,0.8589,0.73207,0.79866,0.55459,1.04316,0.81233,1.20812,0.000707707,0.000707707,0.000707707
24,2675.1,1.11593,0.98384,1.26718,0.85553,0.75515,0.80014,0.55223,1.03231,0.83727,1.20266,0.000689376,0.000689376,0.000689376
25,2784.84,1.1001,0.95728,1.25714,0.85418,0.70856,0.78406,0.54846,1.03239,0.85211,1.18671,0.000671044,0.000671044,0.000671044
26,2894.37,1.09501,0.96955,1.25364,0.86933,0.74918,0.8165,0.57426,1.03409,0.79632,1.16883,0.000652712,0.000652712,0.000652712
27,3004.28,1.10214,0.95314,1.25519,0.86994,0.75007,0.80753,0.56865,1.02356,0.79747,1.18068,0.000634381,0.000634381,0.000634381
28,3114.54,1.07438,0.92817,1.23144,0.85715,0.75659,0.80311,0.56398,1.04066,0.77832,1.18793,0.000616049,0.000616049,0.000616049
29,3224.14,1.07701,0.90909,1.24311,0.83368,0.76007,0.80827,0.56875,1.01212,0.75528,1.17157,0.000597718,0.000597718,0.000597718
30,3333.88,1.06512,0.90491,1.24036,0.90049,0.74699,0.81168,0.56959,1.0333,0.75078,1.19086,0.000579386,0.000579386,0.000579386
31,3443.27,1.06893,0.88355,1.22559,0.87584,0.74506,0.81545,0.57533,1.01724,0.76387,1.17686,0.000561055,0.000561055,0.000561055
32,3554.29,1.05878,0.87972,1.2365,0.90118,0.75316,0.81786,0.58366,1.0166,0.74264,1.16426,0.000542723,0.000542723,0.000542723
33,3664.35,1.04009,0.8575,1.22102,0.89164,0.75791,0.82064,0.58526,0.98707,0.74653,1.14665,0.000524392,0.000524392,0.000524392
34,3775.13,1.05415,0.8609,1.22202,0.85074,0.7929,0.82651,0.59809,0.97696,0.71596,1.14787,0.00050606,0.00050606,0.00050606
35,3885.64,1.02963,0.84671,1.21297,0.87514,0.75951,0.8256,0.58532,1.00429,0.71711,1.15431,0.000487729,0.000487729,0.000487729
36,3996.66,1.02457,0.84059,1.21791,0.89073,0.77468,0.82632,0.59386,0.97255,0.70175,1.14075,0.000469397,0.000469397,0.000469397
